550370, 689, 1753, 1.11
550371, 955, 2974, 1.14
550372, 1189, 2939, 1.30
550373, 226, 1093, 0.83
550374, 384, 1295, 0.57
550375, 1060, 1450, 0.62
550376, 2187, 2975, 1.22
550377, 120, 1113, 0.47
550378, 157, 2133, 1.01
550379, 172, 1981, 1.02
550380, 211, 879, 0.54
550381, 479, 1727, 0.80
550382, 128, 366, 0.19
550383, 1490, 2827, 1.17
550384, 991, 2451, 1.13
550385, 686, 3296, 1.10
550386, 832, 2890, 1.11
550387, 198, 833, 0.73
550388, 269, 890, 0.34
550389, 569, 1564, 0.77
550390, 273, 778, 0.40
550391, 558, 1614, 0.69
550392, 430, 1271, 0.57
550393, 196, 554, 0.29
550394, 21, 55, 0.02
550395, 351, 1126, 0.50
550396, 70, 241, 0.10
550397, 259, 960, 0.35
550398, 350, 1119, 0.48
550399, 403, 1242, 0.55
550400, 1622, 3098, 1.22
550401, 694, 2907, 1.12
550402, 205, 1080, 0.79
550403, 490, 1324, 0.61
550404, 175, 489, 0.24
550405, 195, 570, 0.26
550406, 343, 944, 0.50
550407, 683, 1987, 0.97
550408, 406, 1172, 0.65
550409, 1712, 2053, 1.14
550410, 579, 3064, 1.14
550411, 835, 761, 0.37
550412, 1094, 3042, 1.17
550413, 250, 2722, 1.05
550414, 133, 249, 0.10
550415, 1510, 2846, 1.27
550416, 250, 2583, 1.05
550417, 1906, 2625, 1.19
550418, 152, 873, 0.52
550419, 313, 2892, 1.09
550420, 175, 734, 0.96
550421, 274, 905, 0.45
550422, 1321, 2866, 1.18
550423, 61, 84, 0.08
550424, 486, 2234, 1.09
550425, 83, 431, 0.48
550426, 1552, 2929, 1.16
550427, 1524, 2797, 1.18
550428, 1115, 2798, 1.20
550429, 97, 1935, 1.03
550430, 271, 2163, 1.07
550431, 1005, 2482, 1.17
550432, 390, 739, 0.31
550433, 78, 1487, 1.06
550434, 628, 2177, 1.17
550435, 1841, 2862, 1.14
550436, 274, 2696, 1.08
550437, 953, 2875, 1.14
550438, 974, 2638, 1.21
550439, 610, 2875, 1.14
550440, 1114, 1225, 1.09
550441, 112, 2554, 1.08
550442, 961, 2846, 1.17
550443, 0, 10, 0.00
550444, 487, 1600, 1.08
550445, 63, 486, 0.49
550446, 754, 2463, 1.08
550447, 281, 976, 0.53
550448, 106, 469, 0.19
550449, 1073, 796, 0.97
550450, 1712, 2443, 1.11
550451, 452, 2414, 1.21
550452, 410, 2192, 1.11
550453, 1775, 3147, 1.24
550454, 86, 2239, 1.10
550455, 578, 2631, 1.10
550456, 207, 1527, 1.02
550457, 1791, 2346, 1.12
550458, 715, 3025, 1.28
550459, 2050, 3191, 1.25
550460, 355, 2766, 1.21
550461, 138, 2018, 1.13
550462, 436, 2978, 1.09
550463, 0, 2220, 0.98
550464, 257, 1795, 1.22
550465, 798, 2937, 1.22
550466, 306, 2817, 1.17
550467, 277, 1531, 1.04
550468, 535, 2313, 1.28
550469, 795, 3000, 1.14
550470, 245, 1422, 0.93
550471, 256, 1053, 0.48
550472, 705, 2511, 1.15
550473, 5, 10, 0.00
550474, 548, 2170, 1.10
550475, 379, 1420, 1.13
550476, 309, 696, 0.26
550477, 303, 1720, 0.85
550478, 1685, 2783, 1.24
550479, 154, 1404, 0.83
550480, 552, 1307, 0.58
550481, 51, 2566, 1.14
550482, 66, 540, 1.43
550483, 290, 1220, 1.01
550484, 850, 2704, 1.23
550485, 716, 2290, 1.29
550486, 267, 1086, 1.21
550487, 1353, 3053, 1.23
550488, 823, 2994, 1.16
550489, 473, 1790, 1.34
550490, 2611, 2853, 1.27
550491, 1029, 2601, 1.37
550492, 1100, 3215, 1.24
550493, 1010, 2749, 1.39
550494, 1150, 2994, 1.21
550495, 313, 2886, 1.07
550496, 440, 2681, 1.11
550497, 185, 1057, 1.34
550498, 298, 1150, 1.17
550499, 116, 319, 0.25
550500, 148, 441, 0.21
550501, 1955, 3277, 1.22
550502, 91, 2123, 1.00
550503, 121, 433, 0.21
550504, 128, 206, 0.07
550505, 616, 2061, 1.05
550506, 33, 1, 0.00
550507, 166, 505, 0.24
550508, 1458, 3490, 1.15
550509, 190, 1007, 0.74
550510, 258, 401, 0.14
550511, 110, 741, 0.32
550512, 572, 1841, 0.78
550513, 355, 968, 0.44
550514, 211, 578, 0.25
