1, 1360, 2958, 0.95
2, 1380, 2955, 0.95
3, 32, 2706, 0.86
4, 256, 782, 0.25
5, 754, 2279, 0.74
6, 1113, 2987, 0.95
7, 927, 2977, 0.95
8, 130, 832, 0.27
9, 323, 964, 0.30
10, 351, 1080, 0.35
11, 267, 855, 0.28
12, 947, 2971, 0.95
13, 103, 368, 0.12
14, 104, 311, 0.10
15, 345, 1086, 0.35
16, 1076, 2937, 0.95
17, 1246, 2962, 0.95
18, 970, 2998, 0.95
19, 111, 1756, 0.56
20, 148, 503, 0.16
21, 358, 1064, 0.35
22, 233, 720, 0.23
23, 728, 2248, 0.73
24, 308, 932, 0.30
25, 1272, 2963, 0.95
26, 1797, 2959, 0.95
27, 167, 2979, 0.95
28, 1200, 2990, 0.95
29, 55, 1999, 0.64
30, 33, 112, 0.04
31, 742, 2337, 0.74
32, 1320, 2987, 0.95
33, 225, 1872, 0.61
34, 105, 324, 0.10
35, 3614, 2980, 0.95
36, 322, 2967, 0.95
37, 273, 2990, 0.95
38, 585, 2942, 0.95
39, 1927, 3019, 0.95
40, 480, 2991, 0.95
41, 401, 2960, 0.95
42, 791, 2904, 0.95
43, 38, 2733, 0.88
44, 1049, 2951, 0.95
45, 5, 374, 0.12
46, 257, 785, 0.25
47, 573, 1843, 0.60
48, 347, 1080, 0.34
49, 52, 162, 0.05
50, 136, 453, 0.14
51, 895, 2742, 0.88
52, 158, 535, 0.17
53, 123, 387, 0.12
54, 171, 496, 0.16
55, 694, 2221, 0.71
56, 950, 2985, 0.95
57, 3, 63, 0.02
58, 173, 535, 0.17
59, 909, 2883, 0.92
60, 665, 2113, 0.68
61, 94, 292, 0.09
62, 417, 1330, 0.42
63, 790, 2529, 0.81
64, 164, 513, 0.16
65, 685, 2214, 0.72
66, 188, 573, 0.19
67, 1083, 2949, 0.95
68, 196, 1023, 0.33
69, 284, 894, 0.28
70, 1775, 2994, 0.95
71, 769, 2989, 0.95
72, 545, 2969, 0.95
73, 839, 2934, 0.95
74, 85, 765, 0.25
75, 169, 509, 0.16
76, 330, 1078, 0.35
77, 22, 72, 0.02
78, 9, 41, 0.01
79, 722, 2304, 0.75
80, 66, 207, 0.07
81, 236, 795, 0.25
82, 151, 470, 0.15
83, 182, 561, 0.18
84, 18, 55, 0.02
85, 261, 858, 0.28
86, 200, 629, 0.20
87, 1520, 2996, 0.95
88, 287, 2798, 0.90
89, 84, 257, 0.08
90, 166, 552, 0.18
91, 1231, 2949, 0.95
92, 698, 2994, 0.95
93, 1513, 2985, 0.95
94, 83, 2177, 0.71
95, 481, 1553, 0.50
96, 346, 1119, 0.36
97, 232, 793, 0.25
98, 52, 134, 0.04
99, 396, 1259, 0.39
100, 491, 1489, 0.47
101, 31, 101, 0.03
102, 339, 1048, 0.33
103, 431, 1393, 0.45
104, 19, 68, 0.02
105, 17, 54, 0.02
106, 523, 1609, 0.51
107, 1211, 2958, 0.95
108, 287, 1776, 0.57
109, 545, 1739, 0.56
110, 549, 1798, 0.57
111, 161, 535, 0.18
112, 265, 774, 0.24
113, 478, 1516, 0.49
114, 2, 5, 0.00
115, 190, 571, 0.18
116, 1319, 2970, 0.95
117, 10, 1074, 0.34
118, 1244, 2986, 0.95
119, 170, 1435, 0.47
120, 570, 1797, 0.58
121, 331, 1091, 0.36
122, 621, 1978, 0.64
123, 193, 590, 0.19
124, 581, 1907, 0.62
125, 130, 407, 0.13
126, 522, 1682, 0.54
127, 331, 1065, 0.34
128, 917, 2939, 0.95
129, 146, 460, 0.15
130, 82, 297, 0.10
131, 301, 952, 0.30
132, 153, 468, 0.15
133, 473, 1519, 0.48
134, 142, 418, 0.14
135, 298, 936, 0.29
136, 369, 1172, 0.37
137, 1588, 2920, 0.95
138, 129, 2465, 0.78
139, 1025, 2972, 0.95
140, 297, 1168, 0.37
141, 2224, 2970, 0.95
142, 552, 2971, 0.95
143, 83, 2967, 0.95
144, 169, 613, 0.20
